,year,branch_name,hour,amount_in_gbp
0,2019.0,Falkirk branch,9.0,252080873.5074
1,2019.0,East Lindsey branch,10.0,249311004.516
2,2020.0,East Lindsey branch,19.0,246462707.07
3,2020.0,Falkirk branch,0.0,245302712.1
4,2018.0,East Lindsey branch,5.0,235472145.09120002
5,2020.0,Falkirk branch,5.0,234973142.58
6,2019.0,East Lindsey branch,16.0,230240637.5682
7,2020.0,East Lindsey branch,0.0,227045480.13
8,2020.0,Falkirk branch,17.0,226652460.69
9,2019.0,Falkirk branch,22.0,225868741.644
10,2018.0,Falkirk branch,20.0,224937752.3424
11,2018.0,East Lindsey branch,2.0,224661085.0272
12,2019.0,East Lindsey branch,6.0,222854390.3964
13,2018.0,Falkirk branch,3.0,222125422.95360002
14,2017.0,East Lindsey branch,16.0,221355950.50620002
15,2019.0,Falkirk branch,10.0,221212263.3336
16,2018.0,East Lindsey branch,19.0,220676054.976
17,2017.0,East Lindsey branch,21.0,214783234.35
18,2014.0,East Lindsey branch,2.0,214304772.6864
19,2011.0,Falkirk branch,20.0,212014454.66820002
20,2020.0,East Lindsey branch,18.0,211691894.82
21,2017.0,East Lindsey branch,0.0,211059419.697
22,2019.0,East Lindsey branch,11.0,210806467.5822
23,2013.0,East Lindsey branch,13.0,210652597.61700004
24,2020.0,Falkirk branch,18.0,210568769.1
25,2020.0,East Lindsey branch,15.0,208168181.25
26,2020.0,East Lindsey branch,2.0,207623892.36
27,2020.0,Falkirk branch,14.0,207327951.15
28,2020.0,East Lindsey branch,1.0,206057345.58
29,2014.0,Falkirk branch,16.0,205976433.5376
30,2019.0,Falkirk branch,19.0,205556185.1826
31,2017.0,Falkirk branch,11.0,204705403.8468
32,2019.0,Falkirk branch,16.0,204030553.3266
33,2018.0,Falkirk branch,23.0,203642933.04000002
34,2013.0,East Lindsey branch,18.0,202330303.63980004
35,2017.0,Falkirk branch,23.0,201343580.5806
36,2020.0,Falkirk branch,9.0,201298296.27
37,2015.0,East Lindsey branch,3.0,201290000.724
38,2018.0,Falkirk branch,12.0,201075910.53120002
39,2011.0,Falkirk branch,7.0,200697516.2766
40,2012.0,East Lindsey branch,10.0,200687015.66760004
41,2018.0,Falkirk branch,11.0,200638779.0624
42,2019.0,Falkirk branch,18.0,200250872.4804
43,2013.0,Falkirk branch,19.0,199816826.02440003
44,2017.0,East Lindsey branch,14.0,199372336.905
45,2019.0,Falkirk branch,5.0,198931710.033
46,2012.0,Falkirk branch,1.0,198204964.62480003
47,2019.0,Falkirk branch,7.0,198119989.0572
48,2020.0,Falkirk branch,2.0,197821741.11
49,2017.0,East Lindsey branch,23.0,197681520.7128
50,2017.0,East Lindsey branch,8.0,196935668.8956
51,2019.0,East Lindsey branch,4.0,196800457.4046
52,2013.0,East Lindsey branch,17.0,196171475.52540004
53,2020.0,East Lindsey branch,17.0,195798639.42
54,2018.0,East Lindsey branch,12.0,195375063.19680002
55,2018.0,Falkirk branch,16.0,195203198.56320003
56,2017.0,Falkirk branch,17.0,194838883.7832
57,2020.0,East Lindsey branch,20.0,194721950.76
58,2016.0,East Lindsey branch,10.0,194418204.384
59,2014.0,Falkirk branch,12.0,194195761.584
60,2014.0,Falkirk branch,9.0,192860038.8
61,2018.0,East Lindsey branch,13.0,191960309.86560002
62,2017.0,East Lindsey branch,18.0,191917640.1714
63,2015.0,Falkirk branch,6.0,191597975.91
64,2014.0,East Lindsey branch,18.0,191453797.4184
65,2014.0,East Lindsey branch,7.0,191241735.036
66,2019.0,East Lindsey branch,1.0,190905012.0264
67,2016.0,East Lindsey branch,21.0,190491082.5492
68,2016.0,East Lindsey branch,5.0,190089308.1624
69,2020.0,Falkirk branch,21.0,189944539.35
70,2019.0,Falkirk branch,8.0,189883805.349
71,2011.0,East Lindsey branch,1.0,189334933.8642
72,2018.0,East Lindsey branch,3.0,189278076.0096
73,2016.0,East Lindsey branch,19.0,189163836.306
74,2011.0,Falkirk branch,2.0,188844420.147
75,2014.0,East Lindsey branch,3.0,188642025.6864
76,2015.0,East Lindsey branch,22.0,188282035.521
77,2020.0,Falkirk branch,6.0,187891006.56
78,2018.0,East Lindsey branch,1.0,187609298.45760003
79,2015.0,Falkirk branch,14.0,187595050.41
80,2020.0,East Lindsey branch,6.0,187505966.67
81,2019.0,Falkirk branch,20.0,187341835.7496
82,2019.0,East Lindsey branch,5.0,187254634.9968
83,2017.0,East Lindsey branch,5.0,186650100.8928
84,2015.0,Falkirk branch,17.0,186575886.081
85,2019.0,East Lindsey branch,13.0,186400245.7128
86,2012.0,East Lindsey branch,22.0,185669487.56160003
87,2014.0,East Lindsey branch,6.0,185660392.2624
88,2013.0,Falkirk branch,20.0,185541904.29240003
89,2019.0,East Lindsey branch,15.0,185215138.3572
90,2017.0,East Lindsey branch,19.0,185120999.3772
91,2020.0,East Lindsey branch,10.0,185070235.05
92,2014.0,Falkirk branch,18.0,184927930.0176
93,2014.0,East Lindsey branch,22.0,184750230.2448
94,2014.0,East Lindsey branch,5.0,184611422.0544
95,2018.0,Falkirk branch,9.0,184439461.65120003
96,2015.0,Falkirk branch,10.0,184133210.634
97,2011.0,Falkirk branch,23.0,183595629.8802
98,2012.0,East Lindsey branch,5.0,183577882.14360002
99,2020.0,East Lindsey branch,7.0,183561170.61
100,2015.0,Falkirk branch,3.0,183536428.554
101,2019.0,East Lindsey branch,0.0,183353770.173
102,2015.0,East Lindsey branch,0.0,183228947.37
103,2018.0,Falkirk branch,5.0,183217429.6416
104,2019.0,East Lindsey branch,12.0,183191706.9066
105,2012.0,East Lindsey branch,18.0,182755034.17920002
106,2017.0,Falkirk branch,9.0,182752949.2152
107,2012.0,East Lindsey branch,6.0,182620279.3968
108,2017.0,East Lindsey branch,17.0,182487279.4122
